values inserted,Columns Used ,Tables Used , Subqueries Used , Column aliases Used 
 ,[],['regions'],{},{}
 ,[],['countries'],{},{}
 ,[],['locations'],{},{}
 ,[],['jobs'],{},{}
 ,[],['departments'],{},{}
 ,[],['employees'],{},{}
 ,[],['dependents'],{},{}
"[1, 'Europe']","['region_id', 'region_name']",['regions'],{},{}
"[2, 'Americas']","['region_id', 'region_name']",['regions'],{},{}
"[3, 'Asia']","['region_id', 'region_name']",['regions'],{},{}
"[4, 'Middle East and Africa']","['region_id', 'region_name']",['regions'],{},{}
"['AR', 'Argentina', 2]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['AU', 'Australia', 3]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['BE', 'Belgium', 1]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['BR', 'Brazil', 2]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['CA', 'Canada', 2]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['CH', 'Switzerland', 1]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['CN', 'China', 3]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['DE', 'Germany', 1]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['DK', 'Denmark', 1]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['EG', 'Egypt', 4]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['FR', 'France', 1]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['HK', 'HongKong', 3]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['IL', 'Israel', 4]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['IN', 'India', 3]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['IT', 'Italy', 1]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['JP', 'Japan', 3]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
"['KW', 'Kuwait', 4]","['country_id', 'country_name', 'region_id']",['countries'],{},{}
